1:15:41 32% (2h44m left); send: 954844 276 p/s (210 p/s avg); recv: 4189 8 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:42 32% (2h44m left); send: 955127 282 p/s (210 p/s avg); recv: 4189 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:43 32% (2h44m left); send: 955399 271 p/s (210 p/s avg); recv: 4192 2 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:44 32% (2h44m left); send: 955689 289 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:45 32% (2h44m left); send: 955967 277 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:46 32% (2h44m left); send: 956237 269 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:47 32% (2h44m left); send: 956313 75 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:48 32% (2h44m left); send: 956313 0 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:49 32% (2h44m left); send: 956313 0 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:50 32% (2h44m left); send: 956566 252 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:51 32% (2h44m left); send: 956566 0 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:52 32% (2h44m left); send: 956709 142 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:53 32% (2h44m left); send: 956816 106 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:54 32% (2h44m left); send: 956892 75 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:55 32% (2h44m left); send: 957188 295 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:56 32% (2h44m left); send: 957476 287 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:57 32% (2h44m left); send: 957764 287 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:58 32% (2h44m left); send: 958051 286 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:59 32% (2h44m left); send: 958344 292 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:16:00 32% (2h44m left); send: 958634 289 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:16:01 32% (2h44m left); send: 958924 289 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:16:02 32% (2h44m left); send: 959218 293 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:16:03 32% (2h44m left); send: 959488 269 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:16:04 32% (2h44m left); send: 959791 302 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:16:05 32% (2h44m left); send: 960083 291 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:16:06 32% (2h44m left); send: 960376 292 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:16:07 32% (2h44m left); send: 960670 293 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:16:08 32% (2h44m left); send: 960757 86 p/s (210 p/s avg); recv: 4192 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
